,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,int_rate_groups,open_acc_groups,revol_util_groups,total_acc_groups,annual_inc_groups,installment_groups,loan_amnt_groups
616,22400,22400, 60 months,22.74,628.13,G,G1,6,RENT,85000.0,Not Verified,Dec-11,Charged Off,credit_card,7.02,Dec-72,1,14,0,58.7,16,21%-24%,10-19,40-60,2-20,85k-112k,531-660,20k-25k
618,22250,22250, 36 months,12.69,746.38,B,B5,2,RENT,41000.0,Verified,Dec-11,Charged Off,debt_consolidation,15.63,Dec-04,0,8,0,61.9,10,9%-13%,2-10,60-80,2-20,31k-58k,660-789,20k-25k
621,7650,7650, 36 months,11.71,253.04,B,B3,5,RENT,57000.0,Verified,Dec-11,Charged Off,debt_consolidation,23.96,Apr-06,1,10,0,63.4,18,9%-13%,2-10,60-80,2-20,58k-85k,145-274,5k-10k
623,20675,20675, 60 months,15.27,494.8,C,C4,7,RENT,50132.0,Verified,Dec-11,Charged Off,other,23.31,Apr-00,1,6,0,74.1,17,13%-17%,2-10,60-80,2-20,58k-85k,403-531,20k-25k
630,20500,20500, 60 months,12.69,463.2,B,B5,0,RENT,47800.0,Verified,Dec-11,Charged Off,debt_consolidation,28.32,Apr-99,1,10,0,52.2,20,9%-13%,2-10,40-60,20-37,31k-58k,403-531,20k-25k
635,29000,29000, 60 months,12.42,651.27,B,B4,10,RENT,65000.0,Verified,Dec-11,Charged Off,debt_consolidation,7.22,Jan-00,1,6,0,57.7,24,9%-13%,2-10,40-60,20-37,58k-85k,531-660,25k-30k
641,12000,12000, 36 months,15.96,421.65,C,C5,9,MORTGAGE,88000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,10.6,Oct-02,3,11,0,77.8,20,13%-17%,10-19,60-80,20-37,85k-112k,403-531,10k-15k
648,10000,10000, 36 months,13.49,339.31,C,C1,10,RENT,30000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,20.96,Jun-07,0,10,0,32.0,11,13%-17%,2-10,20-40,2-20,31k-58k,274-403,5k-10k
655,21600,21600, 36 months,17.27,773.01,D,D3,2,MORTGAGE,58600.0,Source Verified,Dec-11,Charged Off,home_improvement,10.85,Jun-02,0,8,0,95.3,18,17%-21%,2-10,80-100,2-20,58k-85k,660-789,20k-25k
688,8250,8250, 60 months,19.91,218.17,E,E4,3,RENT,27500.0,Not Verified,Dec-11,Charged Off,wedding,20.25,Jul-07,1,8,0,79.7,9,17%-21%,2-10,60-80,2-20,31k-58k,145-274,5k-10k
692,12000,12000, 36 months,12.42,400.99,B,B4,0,RENT,60000.0,Source Verified,Dec-11,Charged Off,car,6.3,Feb-05,1,8,0,78.7,14,9%-13%,2-10,60-80,2-20,58k-85k,274-403,10k-15k
693,7200,7200, 36 months,11.71,238.15,B,B3,2,RENT,33000.0,Not Verified,Dec-11,Charged Off,credit_card,12.69,Apr-07,0,10,0,70.3,13,9%-13%,2-10,60-80,2-20,31k-58k,145-274,5k-10k
698,10000,10000, 36 months,11.71,330.76,B,B3,5,OWN,35000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,11.79,Mar-06,0,9,0,78.2,10,9%-13%,2-10,60-80,2-20,31k-58k,274-403,5k-10k
700,10000,10000, 36 months,14.27,343.09,C,C2,10,MORTGAGE,77400.0,Verified,Dec-11,Charged Off,credit_card,20.05,Apr-84,0,14,0,87.6,34,13%-17%,10-19,80-100,20-37,85k-112k,274-403,5k-10k
726,6000,6000, 36 months,14.27,205.86,C,C2,7,RENT,30000.0,Not Verified,Dec-11,Charged Off,credit_card,15.68,May-07,0,5,0,96.9,12,13%-17%,2-10,80-100,2-20,31k-58k,145-274,5k-10k
729,7000,7000, 36 months,16.77,248.77,D,D2,0,RENT,41000.0,Source Verified,Dec-11,Charged Off,wedding,20.31,Apr-03,2,7,0,97.8,15,13%-17%,2-10,80-100,2-20,31k-58k,145-274,5k-10k
731,3000,3000, 36 months,12.69,100.64,B,B5,10,RENT,30000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,15.4,Nov-01,0,11,0,94.8,15,9%-13%,10-19,80-100,2-20,31k-58k,14-145,0-5k
737,13200,13200, 36 months,11.71,436.61,B,B3,2,MORTGAGE,41600.0,Not Verified,Dec-11,Charged Off,debt_consolidation,9.55,Nov-01,0,10,0,77.6,23,9%-13%,2-10,60-80,20-37,31k-58k,403-531,10k-15k
747,20000,20000, 60 months,18.25,510.6,D,D5,7,RENT,70000.0,Verified,Dec-11,Charged Off,small_business,18.41,Jul-02,1,12,0,71.2,18,17%-21%,10-19,60-80,2-20,58k-85k,403-531,15k-20k
750,14125,14125, 36 months,12.42,472.0,B,B4,10,MORTGAGE,45696.0,Verified,Dec-11,Charged Off,debt_consolidation,21.93,Aug-00,0,10,0,91.5,26,9%-13%,2-10,80-100,20-37,31k-58k,403-531,10k-15k
754,18000,18000, 36 months,13.49,610.75,C,C1,0,OWN,66000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,12.87,Sep-94,1,10,0,42.9,27,13%-17%,2-10,40-60,20-37,58k-85k,531-660,15k-20k
765,35000,21350, 60 months,20.89,576.27,F,F1,10,MORTGAGE,71316.0,Verified,Dec-11,Charged Off,debt_consolidation,14.79,Jan-94,1,13,0,75.5,23,21%-24%,10-19,60-80,20-37,85k-112k,531-660,30k-35k
771,16000,16000, 60 months,17.58,402.65,D,D4,0,RENT,50000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,21.14,Apr-05,1,8,0,70.5,13,17%-21%,2-10,60-80,2-20,58k-85k,403-531,15k-20k
779,12000,12000, 36 months,7.51,373.33,A,A3,0,RENT,83000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,8.36,Jul-01,1,9,0,82.7,36,5%-9%,2-10,80-100,20-37,85k-112k,274-403,10k-15k
782,13000,13000, 36 months,20.3,485.12,E,E5,5,RENT,42000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,7.69,Sep-06,1,5,0,99.5,5,17%-21%,2-10,80-100,2-20,31k-58k,403-531,10k-15k
783,7125,7125, 36 months,7.51,221.67,A,A3,0,MORTGAGE,30000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,18.12,Mar-01,0,7,0,68.0,20,5%-9%,2-10,60-80,20-37,31k-58k,145-274,5k-10k
796,9600,9600, 36 months,7.51,298.67,A,A3,10,RENT,55000.0,Verified,Dec-11,Charged Off,debt_consolidation,27.34,Feb-01,0,10,0,74.8,28,5%-9%,2-10,60-80,20-37,58k-85k,274-403,5k-10k
797,12000,12000, 60 months,12.69,271.14,B,B5,10,MORTGAGE,63000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,20.67,Dec-86,0,13,0,64.1,45,9%-13%,10-19,60-80,37-55,58k-85k,145-274,10k-15k
800,15000,15000, 36 months,15.27,521.97,C,C4,6,RENT,38000.0,Verified,Dec-11,Charged Off,credit_card,13.83,Mar-05,1,7,0,91.8,10,13%-17%,2-10,80-100,2-20,31k-58k,403-531,10k-15k
807,22250,22250, 60 months,15.27,532.49,C,C4,2,MORTGAGE,47532.0,Verified,Dec-11,Charged Off,debt_consolidation,23.76,May-92,3,14,0,58.1,24,13%-17%,10-19,40-60,20-37,31k-58k,531-660,20k-25k
817,6000,6000, 36 months,11.71,198.46,B,B3,1,RENT,37000.0,Not Verified,Dec-11,Charged Off,small_business,6.68,Mar-00,1,4,0,88.6,9,9%-13%,2-10,80-100,2-20,31k-58k,145-274,5k-10k
819,8200,8200, 60 months,16.77,202.78,D,D2,10,RENT,42000.0,Source Verified,Dec-11,Charged Off,credit_card,5.06,Jan-90,1,6,0,90.0,8,13%-17%,2-10,80-100,2-20,31k-58k,145-274,5k-10k
828,15000,15000, 60 months,15.96,364.46,C,C5,8,RENT,37000.0,Source Verified,Dec-11,Charged Off,credit_card,20.14,Jan-00,1,11,0,83.7,30,13%-17%,10-19,80-100,20-37,31k-58k,274-403,10k-15k
832,15700,9875, 60 months,19.42,258.46,E,E3,0,MORTGAGE,60000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,9.12,May-98,0,12,0,89.9,35,17%-21%,10-19,80-100,20-37,58k-85k,145-274,15k-20k
838,12000,8225, 60 months,17.58,206.99,D,D4,10,RENT,78000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,13.18,May-94,1,12,0,45.2,21,17%-21%,10-19,40-60,20-37,85k-112k,145-274,10k-15k
843,13000,13000, 60 months,19.42,340.24,E,E3,7,RENT,55000.0,Not Verified,Dec-11,Charged Off,credit_card,19.09,Jan-02,1,17,0,47.8,35,17%-21%,10-19,40-60,20-37,58k-85k,274-403,10k-15k
845,8000,8000, 36 months,15.27,278.39,C,C4,2,OWN,108000.0,Not Verified,Dec-11,Charged Off,house,12.48,Dec-01,1,12,0,81.8,19,13%-17%,10-19,80-100,2-20,112k-140k,274-403,5k-10k
874,1200,1200, 36 months,12.69,40.26,B,B5,8,RENT,34000.0,Not Verified,Dec-11,Charged Off,vacation,13.41,Jan-00,1,6,0,94.2,30,9%-13%,2-10,80-100,20-37,31k-58k,14-145,0-5k
881,5000,5000, 36 months,7.9,156.46,A,A4,0,MORTGAGE,66000.0,Source Verified,Dec-11,Charged Off,small_business,7.75,Jan-00,3,11,0,47.9,20,5%-9%,10-19,40-60,20-37,58k-85k,145-274,0-5k
887,35000,35000, 60 months,20.89,944.71,F,F1,5,RENT,90000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,7.93,Apr-02,1,9,0,82.2,19,21%-24%,2-10,80-100,2-20,85k-112k,918-1047,30k-35k
892,13250,13250, 36 months,17.58,476.24,D,D4,7,RENT,35000.0,Verified,Dec-11,Charged Off,debt_consolidation,18.55,Dec-06,1,7,0,76.5,22,17%-21%,2-10,60-80,20-37,31k-58k,403-531,10k-15k
909,10000,10000, 36 months,11.71,330.76,B,B3,5,RENT,29406.0,Source Verified,Dec-11,Charged Off,debt_consolidation,10.41,Apr-04,0,5,0,82.5,17,9%-13%,2-10,80-100,2-20,31k-58k,274-403,5k-10k
910,2200,2200, 36 months,9.91,70.9,B,B1,8,RENT,26004.0,Verified,Dec-11,Charged Off,debt_consolidation,14.95,Jan-03,0,3,0,61.6,7,9%-13%,2-10,60-80,2-20,3k-31k,14-145,0-5k
914,10625,10625, 36 months,14.27,364.54,C,C2,10,RENT,26500.0,Not Verified,Dec-11,Charged Off,debt_consolidation,15.49,Sep-98,1,6,0,80.4,14,13%-17%,2-10,80-100,2-20,31k-58k,274-403,10k-15k
916,7200,7200, 36 months,20.89,270.86,F,F1,0,MORTGAGE,88800.0,Verified,Dec-11,Charged Off,debt_consolidation,20.46,Dec-94,3,34,0,57.5,61,21%-24%,27-36,40-60,55-74,85k-112k,145-274,5k-10k
926,10400,10400, 60 months,22.35,289.32,F,F5,3,MORTGAGE,72000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,8.82,Apr-05,0,8,0,99.3,9,21%-24%,2-10,80-100,2-20,85k-112k,274-403,10k-15k
930,12000,12000, 60 months,13.49,276.06,C,C1,9,RENT,55000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,14.49,Nov-02,2,8,0,50.1,16,13%-17%,2-10,40-60,2-20,58k-85k,274-403,10k-15k
935,17200,17200, 60 months,17.27,429.97,D,D3,9,MORTGAGE,55000.0,Verified,Dec-11,Charged Off,home_improvement,23.76,Jun-95,1,14,0,89.0,38,17%-21%,10-19,80-100,37-55,58k-85k,403-531,15k-20k
937,10625,10625, 36 months,11.71,351.44,B,B3,0,RENT,30000.0,Source Verified,Dec-11,Charged Off,credit_card,23.2,Dec-03,0,11,0,70.4,17,9%-13%,10-19,60-80,2-20,31k-58k,274-403,10k-15k
946,16400,16400, 60 months,17.27,409.97,D,D3,5,RENT,61500.0,Verified,Dec-11,Charged Off,credit_card,12.51,Jul-00,1,6,0,72.3,11,17%-21%,2-10,60-80,2-20,58k-85k,403-531,15k-20k
950,13000,13000, 36 months,9.91,418.93,B,B1,10,RENT,50000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,17.3,Jun-01,1,13,0,30.7,25,9%-13%,10-19,20-40,20-37,58k-85k,403-531,10k-15k
954,30000,18275, 60 months,20.3,487.24,E,E5,10,MORTGAGE,110000.0,Verified,Dec-11,Charged Off,small_business,23.21,Aug-89,1,17,0,56.3,60,17%-21%,10-19,40-60,55-74,112k-140k,403-531,25k-30k
961,12000,12000, 60 months,16.77,296.75,D,D2,6,RENT,40000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,18.66,Oct-97,2,7,0,92.1,11,13%-17%,2-10,80-100,2-20,31k-58k,274-403,10k-15k
967,5000,5000, 36 months,14.27,171.55,C,C2,5,MORTGAGE,61400.0,Not Verified,Dec-11,Charged Off,home_improvement,21.71,Jan-99,1,11,0,93.1,26,13%-17%,10-19,80-100,20-37,58k-85k,145-274,0-5k
971,5000,5000, 36 months,14.27,171.55,C,C2,10,RENT,32000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,20.93,Nov-00,0,10,0,98.4,13,13%-17%,2-10,80-100,2-20,31k-58k,145-274,0-5k
975,8000,8000, 36 months,12.42,267.33,B,B4,4,RENT,35000.0,Verified,Dec-11,Charged Off,credit_card,23.79,May-00,0,13,0,76.0,24,9%-13%,10-19,60-80,20-37,31k-58k,145-274,5k-10k
979,16000,10175, 60 months,12.69,229.91,B,B5,7,RENT,50000.0,Verified,Dec-11,Charged Off,debt_consolidation,26.11,Nov-98,1,15,0,26.0,31,9%-13%,10-19,20-40,20-37,58k-85k,145-274,15k-20k
984,10000,10000, 60 months,18.64,257.43,E,E1,5,OWN,40000.0,Verified,Dec-11,Charged Off,credit_card,12.75,Aug-06,0,13,0,72.2,18,17%-21%,10-19,60-80,2-20,31k-58k,145-274,5k-10k
1006,5350,5350, 36 months,15.27,186.17,C,C4,6,MORTGAGE,52000.0,Source Verified,Dec-11,Charged Off,home_improvement,9.46,Dec-99,1,14,0,80.1,28,13%-17%,10-19,80-100,20-37,58k-85k,145-274,0-5k
1012,6000,6000, 36 months,7.9,187.75,A,A4,0,RENT,23040.0,Source Verified,Dec-11,Charged Off,credit_card,12.66,Dec-98,0,6,0,62.3,11,5%-9%,2-10,60-80,2-20,3k-31k,145-274,5k-10k
1024,19000,19000, 60 months,16.77,469.86,D,D2,3,OWN,38000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,18.09,May-01,1,15,0,69.6,29,13%-17%,10-19,60-80,20-37,31k-58k,403-531,15k-20k
1037,20300,20300, 60 months,14.27,475.2,C,C2,0,RENT,80000.0,Verified,Dec-11,Charged Off,debt_consolidation,27.76,Apr-00,1,14,0,59.6,30,13%-17%,10-19,40-60,20-37,85k-112k,403-531,20k-25k
1046,2300,2300, 36 months,7.51,71.56,A,A3,0,MORTGAGE,78000.0,Source Verified,Dec-11,Charged Off,other,10.23,Feb-93,1,18,0,26.1,44,5%-9%,10-19,20-40,37-55,85k-112k,14-145,0-5k
1048,18800,18800, 60 months,21.28,511.57,F,F2,7,RENT,75000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,11.73,Sep-00,2,7,0,93.1,9,21%-24%,2-10,80-100,2-20,85k-112k,403-531,15k-20k
1059,24575,24575, 60 months,19.03,637.9,E,E2,10,MORTGAGE,59000.0,Verified,Dec-11,Charged Off,credit_card,19.75,Apr-94,0,9,0,63.7,25,17%-21%,2-10,60-80,20-37,58k-85k,531-660,20k-25k
1075,5000,5000, 36 months,20.89,188.1,F,F1,5,RENT,21000.0,Verified,Dec-11,Charged Off,other,7.14,Dec-07,0,2,0,99.2,4,21%-24%,2-10,80-100,2-20,3k-31k,145-274,0-5k
1079,17475,16175, 60 months,17.27,404.35,D,D3,10,RENT,56000.0,Verified,Dec-11,Charged Off,other,24.84,Apr-00,2,11,0,68.8,27,17%-21%,10-19,60-80,20-37,58k-85k,403-531,15k-20k
1085,34475,34475, 60 months,14.27,807.01,C,C2,8,RENT,60000.0,Verified,Dec-11,Charged Off,debt_consolidation,20.02,May-96,0,13,0,53.2,36,13%-17%,10-19,40-60,20-37,58k-85k,789-918,30k-35k
1089,10050,10050, 60 months,17.27,251.23,D,D3,10,MORTGAGE,74143.68,Source Verified,Dec-11,Charged Off,home_improvement,17.54,Apr-04,1,10,0,89.9,16,17%-21%,2-10,80-100,2-20,85k-112k,145-274,5k-10k
1093,10000,10000, 36 months,15.27,347.98,C,C4,0,RENT,42000.0,Source Verified,Dec-11,Charged Off,credit_card,16.37,Oct-97,1,11,0,81.7,36,13%-17%,10-19,80-100,20-37,31k-58k,274-403,5k-10k
1096,35000,23350, 60 months,11.71,516.0,B,B3,3,MORTGAGE,90000.0,Source Verified,Dec-11,Charged Off,small_business,8.07,Mar-04,0,6,0,25.3,19,9%-13%,2-10,20-40,2-20,85k-112k,403-531,30k-35k
1097,18200,18200, 36 months,11.71,601.99,B,B3,10,RENT,42000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,20.37,Nov-00,0,10,0,59.6,41,9%-13%,2-10,40-60,37-55,31k-58k,531-660,15k-20k
1106,17000,17000, 60 months,13.49,391.08,C,C1,9,RENT,53000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,21.03,Jul-94,2,7,0,84.6,12,13%-17%,2-10,80-100,2-20,58k-85k,274-403,15k-20k
1113,11100,11100, 36 months,15.27,386.26,C,C4,6,RENT,45000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,4.64,Dec-96,1,3,0,95.8,9,13%-17%,2-10,80-100,2-20,31k-58k,274-403,10k-15k
1115,12000,12000, 60 months,19.42,314.07,E,E3,2,RENT,40000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,6.15,Mar-00,1,4,0,96.5,7,17%-21%,2-10,80-100,2-20,31k-58k,274-403,10k-15k
1117,21000,21000, 60 months,17.27,524.96,D,D3,7,OWN,42000.0,Verified,Dec-11,Charged Off,debt_consolidation,15.8,Feb-00,1,5,0,74.2,10,17%-21%,2-10,60-80,2-20,31k-58k,403-531,20k-25k
1119,18500,18500, 36 months,7.51,575.56,A,A3,1,RENT,112000.0,Verified,Dec-11,Charged Off,debt_consolidation,9.02,Jan-96,1,10,0,9.8,26,5%-9%,2-10,0-20,20-37,112k-140k,531-660,15k-20k
1121,8500,8500, 36 months,15.96,298.67,C,C5,10,RENT,27050.0,Source Verified,Dec-11,Charged Off,credit_card,10.25,Oct-05,3,7,0,62.7,10,13%-17%,2-10,60-80,2-20,31k-58k,274-403,5k-10k
1126,9500,9500, 36 months,12.69,318.68,B,B5,5,MORTGAGE,52000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,18.95,Aug-03,1,8,0,64.5,11,9%-13%,2-10,60-80,2-20,58k-85k,274-403,5k-10k
1138,5000,5000, 36 months,7.51,155.56,A,A3,10,RENT,84855.0,Verified,Dec-11,Charged Off,other,14.14,Sep-88,2,13,0,20.5,18,5%-9%,10-19,20-40,2-20,85k-112k,145-274,0-5k
1141,4000,4000, 36 months,18.64,145.9,E,E1,10,RENT,47000.0,Source Verified,Dec-11,Charged Off,other,12.94,Apr-05,0,3,0,99.0,7,17%-21%,2-10,80-100,2-20,31k-58k,145-274,0-5k
1142,15000,15000, 36 months,12.69,503.18,B,B5,4,RENT,62000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,18.77,Feb-05,0,18,0,43.8,19,9%-13%,10-19,40-60,2-20,58k-85k,403-531,10k-15k
1144,16500,16500, 36 months,17.27,590.49,D,D3,10,MORTGAGE,64000.0,Verified,Dec-11,Charged Off,credit_card,7.97,Jun-00,0,9,0,96.0,13,17%-21%,2-10,80-100,2-20,58k-85k,531-660,15k-20k
1146,4000,4000, 36 months,15.27,139.2,C,C4,10,OWN,25000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,12.62,Jan-03,1,5,0,91.0,9,13%-17%,2-10,80-100,2-20,3k-31k,14-145,0-5k
1150,3000,3000, 36 months,11.71,99.23,B,B3,3,RENT,55000.0,Not Verified,Dec-11,Charged Off,credit_card,9.75,May-01,0,12,0,92.7,19,9%-13%,10-19,80-100,2-20,58k-85k,14-145,0-5k
1163,17500,17500, 60 months,10.65,377.45,B,B2,10,RENT,45256.0,Source Verified,Dec-11,Charged Off,debt_consolidation,22.01,Jan-00,0,19,0,63.7,44,9%-13%,19-27,60-80,37-55,31k-58k,274-403,15k-20k
1180,15000,15000, 36 months,15.27,521.97,C,C4,3,RENT,70000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,8.25,Nov-01,2,8,0,91.8,16,13%-17%,2-10,80-100,2-20,58k-85k,403-531,10k-15k
1182,35000,35000, 60 months,19.42,916.03,E,E3,3,MORTGAGE,70000.0,Verified,Dec-11,Charged Off,debt_consolidation,19.17,Jan-00,2,13,0,66.9,38,17%-21%,10-19,60-80,37-55,58k-85k,789-918,30k-35k
1184,12200,10350, 60 months,14.27,242.28,C,C2,8,MORTGAGE,35000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,13.13,Oct-97,0,5,1,26.0,20,13%-17%,2-10,20-40,20-37,31k-58k,145-274,10k-15k
1186,25000,17000, 60 months,16.77,420.4,D,D2,10,RENT,81000.0,Verified,Dec-11,Charged Off,credit_card,12.62,Jan-89,1,13,0,70.9,25,13%-17%,10-19,60-80,20-37,85k-112k,403-531,20k-25k
1193,7175,7175, 36 months,7.9,224.51,A,A4,4,RENT,60000.0,Not Verified,Dec-11,Charged Off,small_business,7.9,Feb-86,0,4,0,94.1,15,5%-9%,2-10,80-100,2-20,58k-85k,145-274,5k-10k
1212,17000,17000, 60 months,20.89,458.86,F,F1,5,MORTGAGE,84000.0,Source Verified,Dec-11,Charged Off,home_improvement,10.19,Feb-96,1,10,0,76.9,16,21%-24%,2-10,60-80,2-20,85k-112k,403-531,15k-20k
1214,16000,16000, 36 months,14.65,551.91,C,C3,7,MORTGAGE,70000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,4.99,Sep-07,1,6,0,43.3,6,13%-17%,2-10,40-60,2-20,58k-85k,531-660,15k-20k
1215,10000,10000, 60 months,15.96,242.97,C,C5,1,RENT,56496.0,Verified,Dec-11,Charged Off,debt_consolidation,18.84,Dec-94,2,11,0,23.1,26,13%-17%,10-19,20-40,20-37,58k-85k,145-274,5k-10k
1216,8000,8000, 36 months,6.62,245.63,A,A2,10,OWN,42240.0,Not Verified,Dec-11,Charged Off,credit_card,12.33,Apr-00,0,15,0,53.5,25,5%-9%,10-19,40-60,20-37,31k-58k,145-274,5k-10k
1232,15000,15000, 36 months,12.42,501.23,B,B4,1,RENT,90000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,11.2,Nov-03,0,8,0,77.1,13,9%-13%,2-10,60-80,2-20,85k-112k,403-531,10k-15k
1234,8400,8400, 36 months,7.51,261.34,A,A3,10,RENT,72000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,20.75,May-96,2,8,0,16.0,23,5%-9%,2-10,0-20,20-37,85k-112k,145-274,5k-10k
1236,22750,22750, 60 months,20.3,606.54,E,E5,0,MORTGAGE,47840.0,Verified,Dec-11,Charged Off,debt_consolidation,19.31,Dec-90,2,11,0,62.8,16,17%-21%,10-19,60-80,2-20,31k-58k,531-660,20k-25k
1239,5000,5000, 60 months,14.27,117.05,C,C2,0,RENT,17000.0,Source Verified,Dec-11,Charged Off,major_purchase,12.85,Mar-05,1,13,0,51.7,19,13%-17%,10-19,40-60,2-20,3k-31k,14-145,0-5k
1247,14000,14000, 60 months,13.49,322.07,C,C1,10,OWN,35000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,13.68,Feb-00,0,5,0,81.8,7,13%-17%,2-10,80-100,2-20,31k-58k,274-403,10k-15k
1256,1400,1400, 36 months,8.9,44.46,A,A5,10,MORTGAGE,30108.0,Not Verified,Dec-11,Charged Off,debt_consolidation,20.29,Oct-86,1,8,0,33.4,40,5%-9%,2-10,20-40,37-55,31k-58k,14-145,0-5k
1270,2400,2400, 36 months,10.65,78.18,B,B2,8,RENT,43080.0,Not Verified,Dec-11,Charged Off,debt_consolidation,21.67,Apr-98,1,5,0,75.4,14,9%-13%,2-10,60-80,2-20,31k-58k,14-145,0-5k
1273,5000,5000, 36 months,6.62,153.52,A,A2,3,OWN,32500.0,Not Verified,Dec-11,Charged Off,other,16.32,Aug-03,1,12,0,27.7,29,5%-9%,10-19,20-40,20-37,31k-58k,145-274,0-5k
1280,2400,2400, 36 months,9.91,77.34,B,B1,10,MORTGAGE,72000.0,Source Verified,Dec-11,Charged Off,wedding,17.38,Mar-95,0,8,0,80.8,41,9%-13%,2-10,80-100,37-55,85k-112k,14-145,0-5k
1284,10000,10000, 36 months,17.58,359.43,D,D4,10,RENT,30000.0,Verified,Dec-11,Charged Off,credit_card,16.56,Jul-07,0,11,0,88.1,14,17%-21%,10-19,80-100,2-20,31k-58k,274-403,5k-10k
1285,10000,10000, 36 months,13.49,339.31,C,C1,0,RENT,26400.0,Source Verified,Dec-11,Charged Off,debt_consolidation,13.95,Apr-02,0,7,0,78.0,12,13%-17%,2-10,60-80,2-20,31k-58k,274-403,5k-10k
1288,22800,22800, 60 months,17.27,569.96,D,D3,8,RENT,68000.0,Verified,Dec-11,Charged Off,credit_card,10.02,Apr-00,1,11,0,65.6,20,17%-21%,10-19,60-80,20-37,58k-85k,531-660,20k-25k
1292,3000,3000, 36 months,11.71,99.23,B,B3,1,RENT,18000.0,Verified,Dec-11,Charged Off,small_business,24.27,Mar-01,1,4,0,21.5,9,9%-13%,2-10,20-40,2-20,3k-31k,14-145,0-5k
1315,4200,4200, 36 months,6.62,128.96,A,A2,10,RENT,35000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,21.91,Feb-99,0,6,0,63.8,17,5%-9%,2-10,60-80,2-20,31k-58k,14-145,0-5k
1317,7000,7000, 60 months,22.06,193.58,F,F4,5,RENT,50000.0,Source Verified,Dec-11,Charged Off,credit_card,11.76,Feb-07,1,9,0,88.7,12,21%-24%,2-10,80-100,2-20,58k-85k,145-274,5k-10k
1319,3600,3600, 60 months,18.25,91.91,D,D5,1,RENT,32000.0,Verified,Dec-11,Charged Off,debt_consolidation,17.25,Feb-04,1,8,0,68.3,19,17%-21%,2-10,60-80,2-20,31k-58k,14-145,0-5k
1320,14000,14000, 60 months,13.49,322.07,C,C1,10,MORTGAGE,27840.0,Verified,Dec-11,Charged Off,small_business,10.78,Sep-90,2,5,0,57.2,23,13%-17%,2-10,40-60,20-37,31k-58k,274-403,10k-15k
1326,5325,5325, 36 months,12.42,177.94,B,B4,10,RENT,22000.0,Source Verified,Dec-11,Charged Off,credit_card,12.55,Jun-02,0,7,0,88.5,14,9%-13%,2-10,80-100,2-20,3k-31k,145-274,0-5k
1328,14000,14000, 36 months,10.65,456.03,B,B2,2,OWN,35000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,13.44,Jan-00,1,8,0,46.2,20,9%-13%,2-10,40-60,20-37,31k-58k,403-531,10k-15k
1329,20000,20000, 36 months,17.27,715.75,D,D3,10,MORTGAGE,50000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,3.02,Sep-93,0,3,0,38.2,11,17%-21%,2-10,20-40,2-20,58k-85k,660-789,15k-20k
1330,16000,16000, 36 months,14.65,551.91,C,C3,4,RENT,50000.0,Source Verified,Dec-11,Charged Off,credit_card,19.44,Oct-00,3,8,0,90.9,35,13%-17%,2-10,80-100,20-37,58k-85k,531-660,15k-20k
1341,17000,17000, 60 months,17.58,427.82,D,D4,3,RENT,75600.0,Source Verified,Dec-11,Charged Off,credit_card,19.73,Jul-88,1,7,0,74.1,17,17%-21%,2-10,60-80,2-20,85k-112k,403-531,15k-20k
